"","years","SSB","Robs","sdSSB","sdRobs"
"1",1980,1361120,39976000,0,0.116190349447647
"2",1981,1492290,53073600,0,0.115972061386202
"3",1982,2552170,36233000,0,0.119905826111648
"4",1983,3682810,119328000,0,0.108561264310322
"5",1984,4707490,37833800,0,0.124816277505544
"6",1985,5260560,85229300,0,0.109347661081268
"7",1986,6221900,51437900,0,0.117504852093159
"8",1987,6017720,29686000,0,0.129756783647037
"9",1988,5678040,19209100,0,0.142485853453843
"10",1989,5693320,31246400,0,0.121179496764177
"11",1990,5153790,94766900,0,0.106124151872395
"12",1991,4486400,50560300,0,0.111639491056073
"13",1992,3600880,30061900,0,0.11479579643153
"14",1993,3644710,72457600,0,0.109159346536677
"15",1994,4565520,32207000,0,0.120685197537972
"16",1995,5208570,25013000,0,0.124958795819481
"17",1996,4639150,46935500,0,0.112710780747126
"18",1997,4742140,64244200,0,0.109021995905516
"19",1998,4833840,37898400,0,0.117032546579186
"20",1999,3991070,32352200,0,0.11564697482764
"21",2000,3965000,48518600,0,0.11093675124152
"22",2001,4192440,64305800,0,0.107653258706958
"23",2002,4362180,43568000,0,0.111166244057571
"24",2003,4284570,34126800,0,0.114541873986981
"25",2004,4362100,16828100,0,0.125828652092296
"26",2005,4713710,12515000,0,0.135951867843563
"27",2006,4319730,26908400,0,0.114160574190415
"28",2007,3829210,51014800,0,0.107783052134655
"29",2008,3355850,22469100,0,0.118409401835364
"30",2009,2617540,75924400,0,0.106636039157225
"31",2010,2684960,40084300,0,0.114852929571454
"32",2011,3166380,26068500,0,0.127486604984218
"33",2012,3717510,22223100,0,0.139477939744739
"34",2013,4525220,99931200,0,0.114321937450785
"35",2014,4944110,55261200,0,0.144932968432618
"36",2015,4420190,30718500,0,0.223798999852189
"37",2016,4952960,19446500,0,0.314092666447484
"38",2017,5465710,22201200,0,0.396974831297223
